Segundo,Bytes_Por_Segundo
40.29983746,1444
40.29989193,1444
40.299970736,1444
40.300051076,1444
40.300104685,1444
40.300167197,1444
40.300233639,1444
40.300290236,1444
40.300365509,1444
40.300427475,1444
40.300502707,1444
40.300560713,1444
40.30069244,1444
40.300749498,1444
40.300758293,1444
40.300815678,1444
40.300890701,1444
40.300947736,1444
40.301024741,1444
40.301083538,1444
40.301155497,1444
40.301214264,1444
40.301288752,1444
40.301345953,1444
40.301418615,1444
40.301479212,1444
40.301554237,1444
40.301617634,1444
40.301684771,1444
40.301740141,1444
40.30181466,1444
40.301874747,1444
40.301945688,1444
40.302003722,1444
40.302077454,1444
40.302134085,1444
40.302210501,1444
40.30227217,1444
40.302341392,1444
40.302397635,1444
40.30247345,1444
40.302531122,1444
40.302604593,1444
40.30268818,1444
40.302737768,1444
40.302794485,1444
40.302869755,1444
40.302961808,1444
40.303000575,1444
40.303055415,1444
40.30313172,1444
40.303188862,1444
40.303264608,1444
40.303322156,1444
40.303396591,1444
40.303455626,1444
40.303527574,1444
40.303580669,1444
40.303676464,1444
40.303739936,1444
40.303790871,1444
40.303853186,1444
40.303923739,1444
40.304040335,1444
40.304083771,1444
40.304143877,1444
40.304187747,1444
40.304244267,1444
40.304319579,1444
40.304375737,1444
40.304453554,1444
40.304512028,1444
40.30458166,1444
40.304638261,1444
40.304715755,1444
40.304797834,1444
40.304845849,1444
40.304904121,1444
40.304979046,1444
40.305031624,1444
40.305108745,1444
40.305163101,1444
40.305241671,1444
40.305299582,1444
40.305372804,1444
40.305430256,1444
40.305503632,1444
40.305556894,1444
40.30563549,1444
40.30569284,1444
40.305767421,1444
40.305825467,1444
40.305911368,1444
40.305972441,1444
40.306031522,1444
40.306085305,1444
40.306162449,1444
40.30622209,1444
40.306294775,1444
40.306352604,1444
40.306428489,1444
40.306485001,1444
40.306557645,1444
40.306614252,1444
40.306689381,1444
40.306746996,1444
40.306821813,1444
40.306928405,1444
40.306953624,1444
40.307030504,1444
40.307087591,1444
40.307145124,1444
40.307216797,1444
40.307527167,1444
40.307664258,1444
40.307675702,1444
40.307681766,1444
40.307728587,1444
40.307736137,1444
40.307746682,1444
40.307753263,1444
40.307806401,1444
40.307876721,1444
40.307930661,1444
40.308018141,1444
40.308097567,1444
40.308156718,1444
40.308216226,1444
40.308270607,1444
40.308327514,1444
40.308402634,1444
40.30845651,1444
40.308534417,1444
40.308593835,1444
40.308666447,1444
40.308723881,1444
40.308798668,1444
40.3088531,1444
40.308929479,1444
40.30898859,1444
40.309061685,1444
40.309139892,1444
40.309194512,1444
40.309248434,1444
40.309325797,1444
40.309382483,1444
40.309456424,1444
40.309507536,1444
40.309588996,1444
40.309644255,1444
