Source IP,Destination IP,Source Port,Destination Port,Protocol,Length,Time Since Reference
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.589715541
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.589827324
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.590859243
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.590964953
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.591920463
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.591973154
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.592065811
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.592115630
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.593061760
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.593194209
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.594218435
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.594337307
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.595318721
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.595388981
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.596420951
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.596425523
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.596489525
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.596525788
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.597543825
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.597652306
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.598683639
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.598801412
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.599802676
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.599862093
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.600866616
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.600906319
